unique location,X,Y
Lorong 31 Geylang ,34362.056922677,33151.116678241604
Bishan Street 12,29678.481923902404,36333.2141721677
Sgn Avenue 1 ,,
Hoy Fatt Road ,25595.6056023929,29989.527408024303
FLorongissa Park,,
Changi South Avenue 1,,
ChiselhurStreet Grove ,,
Chuan Hoe Avenue ,,
Jalan Ikan Merah ,,
Tampines Street 22 ,,
Kaki Bt Ind Terminal,,
Ang Mo Kio Avenue4 ,,
Cornwall Gardens ,24361.7592137745,32710.314739095
Lorong Ampas ,,
Bt Batok EaStreet Avenue 5 ,,
FLoronga Drive ,,
Arthur Road ,34131.902080217405,31950.7642653137
Jurong EaStreet Streetreet 21 ,,
Jalan Bt Merah ,25365.856956274198,29790.2633130457
Jurong WeStreet Street 71 ,,
Jalan Manis ,28120.4750246229,31912.8065187242
Ang Mo Kio Avenue 2,,
"Bedok Rise, Terminal ",,
Bt Batok WeStreet Avenue 5 ,,
Jalan Senang ,,
Woodlands Street 82 ,,
Pandan Gardens ,18760.8948379252,33623.8016099129
Edgefield Plains ,35957.3553702235,42151.1449694932
Jalan Ishak ,36103.040745164304,34078.7213236317
Clementi Street 11 ,,
Amber Road ,35256.6880503567,31247.0268033221
Lucky View ,,
Bt Batok Street 21,,
Kingswear Avenue,31669.254975866494,38778.090761669
Woodlands Street 82 ,,
Upp Aljunied Lane ,,
Woodleigh Park,32081.642149134503,35594.2796155773
"Lorong 4, 8 Geylang",,
Upp EaStreet CoaStreet Road ,,
Segar Road ,,
Kallang Avenue,,
"Casuarina Road, Walk",,
Hythe Road ,,
Jalan Peradun,,
Marine Parade Road ,35605.521235534,32669.036836836494
Boon Lay Drive ,,
Toh Tuck Road ,21058.0928149549,35761.3548903242
Jalan Jamal ,,
Lorong 4 Geylang ,,
Lorong Chuan ,,
Cassia Cres ,,
Yuan Ching Road,15842.687549319098,35321.1514702886
Chuan Hoe Avenue ,32974.134571352,38566.566983103796
Peakville Avenue ,,
Choa Chu KangCres ,,
Choa Chu Kang Street 51 ,,
Clementi Street 12 ,,
Jalan Kakatua ,,
Ang Mo Kio Avenue 4 ,,
Pending Road ,20814.1899516117,40059.2876575831
Woodlands Road ,19312.459618293702,41279.4289150499
Ang Mo Kio Street 52 ,,
Macpherson Lane ,,
"Lorong 12, 16 Geylang",,
Bishan Street 13,30421.616829127997,36468.8731261604
Goodman Road ,34147.1268760273,31826.2459270135
Jalan Arif ,,
Jalan Kurnia ,,
Telok BlangahRise ,,
Parry Terminal ,,
Amber Road ,,
Jurong WeStreet Street 24 ,,
Hougang Avenue 3 ,34641.983650594,38464.2702785339
Tai Thong Cres,,
Ang Mo Kio Central 3,,
Jalan Keruing ,32389.7285443628,40768.398988207795
Yio Chu Kang Road,,
"Frankel Street, Walk",,
Chempaka Kuning Lk ,,
Pine Gr ,,
Jalan Remis ,39441.2516911197,33019.140308754504
Choa ChuKang Avenue 2,,
"Almond Avenue, Cres",,
Bendemeer Road ,31077.3567148671,34094.3010115493
Rivervale Street ,35759.6230470985,41210.9159113113
"EaStreetwood Drive,Green, Pl, Terminal, Way ",,
"Lorong 8, 12Geylang",,
Dido Street ,38386.229972899,33547.2264865655
Boo Lay Pl ,,
Woodlands Drive 16,23466.7301529124,45709.85917567281
 Gangsa Road ,20668.4593563033,40126.6000212133
Upp Boon Keng Road ,,
Choa Chu Kang Central ,,
Bedok South Avenue 2 ,39173.8123528333,33678.8556520119
Pulasan Road ,,
"Robin Cl, Walk",,
Lorong 6 Geylang,34299.7850863766,33054.3532940429
Jalan Kayu ,,
Boscombe Road ,35500.1004815605,32636.394783817203
StreetuRoadee Road ,,
FLorongence Road ,,
Jalan Paras ,37170.6740425527,34320.0571290087
Choa Chu Kang North 5 ,18006.5207644496,41974.0672460441
Woodlands Street 41,21262.3016088251,45797.3416090962
Mimosa Terminal,,
ShelfoRoad Road,,
Tampines Avenue 3 ,,
Defu Lane 9 ,34726.7247732673,35866.8838523384
Jalan Kechubong,32675.7825715635,40926.486154921404
French Road ,31051.0679721655,32169.7455605119
Jalan Pelajau ,32250.7778260671,40845.8229771573
GlouceStreeTerminal Road ,,
Tampines Street 71 ,39600.0301180445,39858.896715840296
JalanTeck Whye ,,
"Joo Chiat Avenue, Pl, Walk",,
Yishun Street 72 ,27754.9160845922,45565.0463964362
Tampines Street 23 ,,
Pasir Ris Rise ,,
Goodman Road,,
Lorong Liew Lian ,,
Tagore Lane,27265.7316815136,40500.2477166764
Jalan Dondang Sayang ,,
Chai Chee Street,,
"Lorong K, L Telok Kurau ",,
Recreation Lane,,
Bishan Street 13 ,,
Aroozoo Avenue ,,
Yishun Avenue 11 ,,
Balam Road ,,
Ceylon Road ,30343.744147587597,33425.2933367565
Jelebu Road ,20174.0998544404,40136.9607823063
Yishun Avenue 5,,
Sin Ming Drive,27888.1927363919,37772.0512069426
 Hougang Avenue 3 ,34641.983650594,38464.2702785339
Bedok North Avenue 1,40016.9903901685,34960.6840288695
Marsiling Cres ,,
Cheng Soon Cres,21174.916759382,35366.0530252885
GeyLang Road ,33178.881408901,35361.8010092042
Choa Chu Kang Avenue 2 ,,
Lorong L Telok Kurau ,36572.136045305095,32805.7619805578
Yishun Avenue 5 ,,
Ernani Street ,,
Kee Choe Avenue,,
Bedok Reservoir Road,36001.992201439105,34733.2826043535
Whampoa WeStreet ,,
Jurong Street 65 ,,
Jalan Hikayat ,,
"Lorong 8, 12 Geylang",,
Tampines Street 24 ,41239.748829383396,37392.4368746523
Jalan Lokam,,
Hythe Road,31765.968902179,38731.3095951471
Choa Chu Kang Cres ,,
Defu Lane 9,,
Choa Chu Kang Road ,,
Teban Gardens Road ,,
Chai Chee Street ,,
Buangkok Cres ,,
Tai Seng Lk,,
FLoronga Drive,,
Aljunied Cres,33884.6982208369,33772.814344301805
Ipoh Lane ,34840.6050352054,32682.4486409593
Telok BlangahDrive ,,
Choa ChuKang Avenue 2 ,,
Ang Mo Kio Avenue 9,28693.0748732239,40488.7996085342
Merryn Road ,26843.6043921579,34404.8790066615
"Poh Huat Road, Terminal",,
Tampines Street 41 ,40419.1449872525,37684.0250091925
LincoLane Road ,,
Hougang Avenue 1 ,38416.3686215216,34881.7532694228
Jalan Lanjut ,27605.665080633906,39155.2542650495
Jalan Daud ,,
Poh Huat Road WeStreet ,,
Serangoon Central Driveive ,,
"FLoronga Drive, Road",,
Haig Lane ,,
Bedok InduStreetrial Park E,,
"Happy Avenue Central, EaStreet, North ",,
Marine ViStreeta ,,
Sungei Tengah Road,,
Elias Terminal ,,
Bt Batok Street 34 ,,
"EaStreetwood Drive, Green, Pl, Road, Terminal, Walk, Way ",,
"Farrer Drive, Road",,
Mandai EStreetate,,
Sembawang Cres,26373.8521254295,47351.518246375
Lorong 1A Toa Payoh ,,
"Lorong 6, 7 Realty Park",34027.0553282881,38963.7275747508
Mt Rosie Road,,
River Valley Road ,29306.138354784798,30283.546909159
Jalan Isnin ,28363.9521082398,37297.3947701529
ButTerminalfly Avenue ,,
Court Road ,29377.090836940297,30070.1272046287
FirStreet Street ,,
Jurong WeStreet Street 81 ,,
Lew Lian Vale ,,
Lorong Marzuki,,
Choa Chu Kang Ctrl,,
Jalan Besar ,,
Yishun Avenue 5 ,,
EaStreet CoaStreet Avenue ,,
Elliot Walk ,,
Canberra Lk ,,
Jalan Soo Bee ,,
Punggol EaStreet ,,
Ang Mo KioAvenue 3 ,,
Eunos Cres ,,
Woodlands Circle ,,
Nathan Road ,27365.8984280685,30760.438606279
"Happy AvenueCentral, EaStreet,North ",,
Hume Avenue,20526.9573193928,37815.1764247827
Queen Street ,,
Ceylon Road ,,
Poole Road,,
Jelebu Road ,,
Keppel Bay Drive ,,
Kranji Road,,
Jalan Bangsawan,38092.414962261,33680.8275808822
"Sennett Avenue, Pl",,
Lorong 16 Geylang,,
Bt Batok Street 52,,
Braddell Road ,,
Norris Road ,30212.5163658736,32254.595012299702
Beatty Road ,,
Hougang Avenue 9 ,33667.8328090403,39656.386198001004
Jalan Labu Ayer ,32569.049912372597,36231.8078911435
"Lorong 6, 7 Realty Park",,
Jalan Loyang Besar ,,
Tampines Street 34 ,42280.5512844818,37552.4028961863
Palm Drive,,
Clementi WeStreet Street 1 ,,
Fernvale Lane ,,
Holland Hill,,
Compassvale walk ,35504.6550564105,41177.064137786605
Jurong WeStreet Street 73 ,,
Mayflower Way,28699.5623615142,39327.6604581587
Cuff Road ,,
Thomson Walk,28907.7316907849,34177.2761487141
Ubi Road 1,35345.0349071268,35136.8896409031
Surin Avenue,,
Fort Road ,25254.4268573504,26788.4669920318
Tampines Street 84,39060.2799002966,37388.7975128256
Jalan Terminalubok ,,
Clementi Avenue 1 ,,
Bedok North Road ,40119.668804280496,34415.2905271649
Geylang,31877.4520003423,34062.3770967107
Rowell Road ,,
Lorongong Chuan,,
Jalan Gembira ,,
Leith Road ,,
Whampoa Road ,,
Jurong WeStreet Street 81 ,,
Bedok Gdn ,,
Circuit Lk ,,
HAvenuelock Road,,
Toh Tuck Road ,,
Kang Ching Road ,,
Bangkit Road ,,
Lorong 5 Toa Payoh ,,
Lorong Ah Soo ,,
Woodlands Street 81 ,,
Mt Vernon Road ,,
Carlisle Road ,,
Tampines Ctrl 1 ,,
BlandfoRoad Drive ,,
GuillemaRoad Road ,,
Selegie Road ,,
Fidelio Street ,37842.4301410727,33521.0796099044
Tampines Street 11 ,,
Tampines Street 32,41594.951881465495,37273.9431666359
"Lorong 25, 25AGeylang",,
Geylang Road ,33178.881408901,35361.8010092042
Jurong ,20538.497442204498,33046.5441542454
Ang Mo Kio Avenue 3 ,,
Geylang EaStreet Avenue 2,,
Kaki Bt InduStreetrial Terminal,,
Ang Mo Kio Avenue 9 ,,
"Lorong 14, 16 Geylang",,
Chia Ping Road ,,
Chempaka Kuning Lk ,,
Woodlands  Avenue 1 ,,
Jalan Gumilang ,19984.802976233,37786.9195367079
Tampines Avenue 1 ,,
Jalan Kelichap,,
Buangkok Green ,33973.0245861821,40164.6793240234
GuillemaRoad Road ,,
Jalan Limau Manis ,,
"Saraca Drive, Pl, Road",,
Happy Avenue EaStreet ,,
Jurong WeStreet Street 42 ,,
Tai Seng Drive,34576.4821296269,35504.2321824115
Jurong WeStreet Street73 ,,
Hougang Street 11 ,33214.3894767631,37145.2985454574
Jalan Lateh ,32090.971468147796,36491.0047731753
Cornwall Gardens,24361.7592137745,32710.314739095
Lorong 22 Geylang,,
Chai Chee Street ,,
Aroozoo Lane ,,
Newton Road ,,
Street George's Road ,,
Rifle Range Road,,
Robin Lane ,27269.5485953325,33526.3179990407
Bt PanjangRing Road ,,
Yunnan Drive ,10767.143251053101,36276.9650289975
Joo Seng Road ,33050.8079748414,35265.3538951688
Lorong 1 Toa Payoh ,,
Sophia Road ,,
Carlisle Road,,
Compassvale Street ,35423.9469306916,41726.053748367405
Yishun Avenue 7,27493.030709441802,45816.020799083606
Street George's Road ,,
Kim Keat Avenue ,30767.031639027402,34794.0403150357
Corporation Drive,15712.303487652,35285.4564068224
Jalan Chempedak ,27600.390400183398,39360.919584562995
WeStreet CoaStreet Cres,,
Farrer Drive ,,
Pasir Ris Street 11,41653.984165736496,38943.6256381869
EaStreet CoaStreet Road ,,
Clementi Street 13 ,,
Eng Kong Terminal ,,
FLorongence Road ,,
Clementi WeStreet Street 2 ,,
Hougang Street 22 ,,
Jalan Cherpen ,,
"WeStreetwood Avenue, Cres, Walk",,
Wan Tho Avenue,,
Lorong 8 Toa Payoh ,,
Binchang Walk ,29493.5332837002,37093.92324383
Ang Mo Kio Avenue 10 ,30456.0196312964,38119.944450153
Pasir Ris Drive 3 ,,
Dido Street ,,
Hougang Avenue 10 ,,
Tai Seng Lk,,
Joon Hiang Road ,,
Jalan Krian ,37090.5520260707,34014.1446106378
Woodlands Street 13 ,,
Huddington Avenue,31651.7710988242,38705.6623823605
Lorong Biawak ,32085.4054886214,36610.762078708
Choa Chu Kang Avenue 3 ,31765.2712856904,34981.4189900439
Lorong 40 Geylang ,34485.9506205963,33184.222709184505
Jalan Hussein ,,
Simei Street 4 ,41713.490295292795,35981.208054794
Primrose Avenue,39342.4261794593,33104.7751844507
Jalan Langgar Bedok ,,
"Gerald Cres, Drive ",,
"How Sun Drive, Walk ",,
Street Patricks Road,,
Jedburgh Gardens,37770.3349517286,32793.1800942831
Anchorvale Lk ,,
Pasir Ris Street 21 ,,
Lengkok Tiga ,,
Jalan Suka ,33555.146649328104,32700.973948516006
Telok Blangah Drive ,25503.5969249532,28211.4608560894
Jurong WeStreet Ctrl 1 ,,
Marine Cres ,,
Ho Ching Road ,,
Woodlands Drive 72 ,24692.1257810127,47138.0969679095
Geylang EaStreetAvenue 1 ,,
Tai Seng Avenue,,
Sin Ming Walk ,,
Kim Keat Avenue ,,
Ipoh Lane,34840.6050352054,32682.4486409593
Geylang Bahru,31877.4520003423,34062.3770967107
Jurong EaStreet Avenue 1 ,,
"Mei Hwan Cres, Drive",,
Jalan Chempaka Kuning ,,
Kwong Avenue,,
Jalan Sentosa ,37339.3728919448,33798.8823728673
"Kim Keat Cl, Lane ",,
Redhill Cl,26252.5258184252,29670.2519380581
Woodlands Rise ,22209.7319954252,46712.0993114766
Upp EaStreet CoaStreet Road,,
Lorong 7 ToaPayoh ,,
"Lorong J, K Telok Kurau",,
Vaughan Road,32167.0784063218,36546.3843777087
Compassvale Street ,35423.9469306916,41726.053748367405
Eng Kong Terminal ,,
WoodlandsCres ,,
Serangoon North Avenue 4,32122.361213609598,39227.7778674364
S�goon Avenue 2 ,,
Rivervale Walk ,35339.7832000759,40524.6671087034
Jalan Sinar Bulan ,43529.8170315092,38316.5065524913
Sengkang EaStreet Avenue ,,
Kurau Terminal ,,
Upp Aljunied Lane ,,
Yishun Ring Road ,27507.482551750698,45899.0676108319
Balmoral Road,,
Riverina View,40329.2132988553,40021.913205308796
Road ,29838.2850734163,29801.5253638923
Mergui Road ,30067.3825038644,33245.987859437206
Fowlie Road ,,
Hougang Ctrl ,,
Jalan Limau Bali,,
Admiralty Road WeStreet,,
Eunos Avenue 7,,
Clementi Street 11 ,,
Yishun Avenue 2 ,,
Compassvale Cres ,,
"Duku Lane, Pl ",,
Kaki Bt Avenue 2 ,,
Seletar WeStreet Farmway 6,,
Jalan Tenaga ,,
Bishan Street 22 ,,
Fulton Road ,,
Bt Batok Ctrl Lk ,,
Woodlands Street 31 ,21344.832048771,45914.1833813638
Bedok Reservoir View,38560.1667876765,35424.2479760591
Bournemouth Road,34911.0193526102,31657.1992682219
Jalan Damai ,,
Simei Rise ,42253.662146055096,36883.0909373518
Serangoon North Avenue 4 ,32122.361213609598,39227.7778674364
Thomson Road ,,
Pasir Ris Street 12 ,,
Mei Ling Street ,,
Macpherson Lane ,33895.912357464396,34930.1018332131
Woodlands Drive 14 ,23402.643993131802,46071.151359111114
Tuas South Way,,
"Jurong WeStreet Street 91, Jurong WeStreet Street 92",,
Canberra Drive ,26276.624097413398,48149.4313918334
Grace Walk,,
Marsiling Lane,21913.0720364619,46910.3239130881
Clementi WeStreet Street 2 ,,
Tampines Street 32 ,41594.951881465495,37273.9431666359
New Upp Changi Road ,,
Anchorvale Road ,,
Bt Batok Street 23,,
Tampines Street 72 ,,
Jalan Singa ,36174.1976875495,34738.4452024605
Nim Road ,,
Mt Vernon Road ,,
"Eunos Avenue 1, 4, 5, 5A, 6, 7, 8A ",,
Jurong WeStreet Avenue 5 ,,
Jalan Jamal,,
Kew Cres ,,
Lucky Hts,,
Vernon Park,,
Dover Rise ,,
Jervois Road,,
Yishun Street 61 ,28332.3793625487,44923.5574643966
"VeRoade Cres, Gr",,
Lorong 16 Geylang ,,
Amber Road,35256.6880503567,31247.0268033221
Champions Way ,23097.213401598907,45797.6736488771
Tampines Street 84 ,,
Toh Guan Road,21415.0252282871,30256.0056470241
Kampong Eunos ,35769.8708480773,33787.3495143708
White House Park,26893.2170377523,33176.7808713671
"Siglap Road, Drive",,
Sembawang Cl,26434.74092675,47544.70189690781
Lorong Melayu ,,
Lorong Kismis,,
Bt Batok WeStreet Avenue 8 ,,
Upp Boon Keng Road,,
Bedok North Street 3,39784.4447099427,34887.5066380352
Ubi Avenue 4,34761.5935813142,35215.6273814179
"Begonia Cres, Drive ",,
Kensington Park Road,,
Clover Cres,29153.713480322596,36896.4479261544
Chuan Link ,,
Jurong WeStreet Streetreet 42 ,,
Golden Walk,,
Choa Chu Kang Street 62 ,,
Ang Mo Kio ,,
Redhill Cl ,,
Jalan Membina ,,
Jalan Siantan,,
Yuan Ching Road,,
Elias Road ,,
Serangoon Ctrl ,,
"Pasir Ris Hts, View",,
Lorong 23 Geylang ,32568.7295863004,33020.3444902189
Bedok InduStreetrial Park E ,,
Woodlands Street 83 ,,
Harvey Road ,,
Teck Whye Avenue ,,
"Eng Kong Cres, Gdn",,
Yishun Street 21 ,,
Bedok North Road ,,
"Kim Chuan Drive, Terminal",,
Siglap Road ,37241.2391247842,33653.3905919511
Cuff Road ,30149.50913864,32165.631203217403
Woodlands Ring Road ,,
Kaki Bt Avenue 3,,
Irrawaddy Road,,
Woodlands Drive 52 ,,
Jurong WeStreet Street 91,,
Bedok South Road,39509.9236320416,33629.4463467319
WeStreet CoaStreet Cres,,
Rivervale Cres ,,
Jalan Menarong ,27608.742002786094,39240.1566555407
Corporation Road ,,
Jalan Chegar ,,
Ang Mio Kio Avenue 10 ,,
Anchorvale Link ,34468.3032964421,41114.2921835892
Ang Mo Kio Avenue 4 ,,
Cheow Keng Road ,,
Lorong Sarina,36285.006112355695,33428.1469114572
Tampines Street 81 ,39473.626387040094,36564.7366734706
Jurong WeStreet Street64 ,,
Mt Sophia ,,
Lorong 8 Toa Payoh ,,
Woodlands Circle,21790.1187345283,46186.983330907315
Lim Tua Tow Road ,,
"Lorong 1, 4 Realty Park",,
Margate Road,,
Sengkang EaStreet Avenue ,,
"Lorong 25A, 27, 27AGeylang",,
Woodlands Avenue 6,24354.257990174,46128.7578094732
Lorong 19 Geylang ,,
Desker Road ,,
Haig Avenue ,,
Lorong 31 Geylang,,
Lorong J Telok Kurau,,
Commonwealth Avenue ,20918.962849660802,32638.1161240507
Compassvale Walk ,35504.6550564105,41177.064137786605
Pasir Ris Drive 6,41645.4048570916,39514.0628393516
Branksome Road ,,
Telok Kurau Road,,
Lorong 30 Geylang ,34082.785133391604,33089.6506967396
Elizabeth Drive ,,
How Sun Close,,
Bloxhome Drive,31417.023876803,38127.825627753504
"Lorong 4, 6, 7Realty Park",,
Hillside Drive ,,
Ang Mo Kio Avenue 4 ,33466.8538511777,39608.987564610296
Branksome Road ,34277.363381274,31726.9415758513
"EaStreetwood Drive, Green, Pl, Terminal,Way ",,
Bendemeer Road,31077.3567148671,34094.3010115493
Ubi Avenue 4 ,,
Chai Chee Road,38190.2934795152,34348.8234877847
Woodlands Ring Road ,23974.7236258965,46491.384235901794
Jalan Chulek ,31907.6523048487,38682.1207315922
Punggol Way ,,
"Duku Lane, Pl ",,
Tampines Street 91 ,39732.4713432258,36881.634956531205
Bt Batok Street 21 ,,
Ubi Avenue 4,,
Woodgrove Drive ,,
Kallang Bahru ,31854.937342262798,33937.7655027546
Wimborne Road,33847.2948323702,31838.738341130298
Tampines Street 82,39295.7205315568,36884.4137390442
Metropole Drive ,38144.269375802,33721.4701581635
"Sungei Kadut Avenue, Way",,
Sengkang EaStreetRoad ,,
Sungei Kadut Way,,
Chancery Lane ,,
Simon Pl,,
Jurong WeStreet Avenue 1 ,,
Marshall Road,,
Jalan Bahagia ,,
Dover Cres ,,
Happy Avenue EaStreet,,
Belilios Road ,,
"Brighton Avenue, Cres ",,
Jalan Senang,,
Jalan Chermai ,,
Choa Chu Kang Central ,,
Sector C Sin Ming Ind EStreet ,,
Jalan Mata Ayer ,,
Pasir Ris Drive 6 ,,
Choa Chu Kang Avenue 4 ,,
Pasir Ris Street 71 ,,
Tampines Street 71 ,,
Sin Ming Road ,,
FLorongence Road ,,
CowDriveay Avenue,,
Jalan Gajus ,35417.1569441725,31822.3983214609
Woodlands Drive 42,23904.5753943371,46704.192920645706
Bishan Street 22 ,29378.5015973933,37811.7508457266
Hougang Street 52 ,,
StreetamfoRoad Road,,
Middle Road,,
Lorong K Telok Kuraru ,,
Tampines Avenue 8 ,,
BriStreetol Road ,,
Jalan Gembira,,
Wilkinson Road,,
Aljunied Cres ,,
Jurong WeStreet Avenue 1 ,,
Elias Road,29910.1206542635,31553.3446705304
Hillside Drive ,,
Chartwell Drive ,,
Woodlands Drive 42 ,23904.5753943371,46704.192920645706
Yishun Street 22 ,28721.7591452291,46317.7473163065
Henderson Road ,,
Gangsa Road,20668.4593563033,40126.6000212133
BriStreetol Road ,,
Raglan Gr ,,
Anchorvale Lane ,33726.598946930804,41470.2628620062
Belimbing Avenue ,32678.6017012987,34900.1869860627
Bt Terminalesa Cl ,,
Tampines Street 84 ,39060.2799002966,37388.7975128256
LincoLane Road,,
Kwong Avenue ,,
Jalan TenTerminalam,,
Jalan Salang ,,
Woodlands Street 31 ,,
 Jurong Lake Lk ,,
Kaki Bt IndTerminal ,,
Upp Serangoon Cres ,,
Figaro Street ,,
Jalan LoyangBesar ,,
BriStreetol Road ,,
Bt Batok Street 31 ,,
Hougang Street 31 ,,
Jurong EaStreet Street 21 ,,
Lim Tua Tow Road,,
Bt Batok Street 21 ,,
Woodlands Drive 50 ,,
Bedok North Street 3 ,,
Lorong 3 Geylang,32512.845989571,32950.3008950781
Tanah Merah Kechil Lk,,
Jurong EaStreet Street 21 ,,
Kang Choo Bin Walk ,,
Ang Mo Kio Avenue 10 ,,
Park Villas Green,,
Yishun Central ,28707.352220607,45751.47317362201
Everton Road,,
Serangoon Avenue 3 ,,
Potong Pasir Avenue 2 ,,
Montreal Drive ,,
Hougang Avenue 9 ,,
Clementi Avenue 1 ,21027.7826074008,32147.734107662003
Wellington Circle ,26670.694297654598,48135.707010245
Duku Road ,35824.6015373068,32293.0491840895
Canberra Drive,26276.624097413398,48149.4313918334
Tampines Avenue 1 ,,
Marsiling Cres ,,
"Amber Gardens, Road",,
Bt Batok WeStreet Avenue 6 ,,
"Tanah Merah Kechil Avenue, Road",,
Upp Bt Timah Road ,,
"Begonia Drive, Lane, Terminal, Walk ",,
Jalan Bangsawan ,38092.414962261,33680.8275808822
Sembawang Walk ,26909.590110060806,46819.7915262878
Serangoon Avenue 3 ,,
Lorong Kismis ,,
Jalan Pari Burong ,,
Woodlands Street 41 ,,
Sembawang Pl,27019.232854277798,46687.9325663093
Hillview Avenue,,
Hougang Street 51 ,,
Bishan Street 12 ,,
Yunnan Drive 1 ,12268.619757059,35642.926591420495
Charlton Road ,33385.8961962005,37316.069631818704
"Sungei Kadut Street 1, 2",,
Telok Blangah Drive ,,
Kang Ching Road ,,
Maria Avenue ,37716.4566089204,33681.5957520418
Jurong WeStreet Street 73 ,,
Geylang EaStreet Avenue 1 ,,
Bedok South Avenue 3 ,,
Hougang Avenue3 ,,
Bedok North Street 1 ,,
Guan Soon Avenue ,,
Jalan Isnin,,
Choa Chu Kang Avenue 1 ,,
Jalan Limau Nipis,,
Woodlands Avenue 4 ,23885.7059398042,46342.4460515566
Jalan Punai ,,
Macpherson Road ,32116.8432088373,34541.602001356
Lorong Pisang Hijau ,21296.195394312,36271.513916470096
Cheviot Hill ,,
Kings Drive ,,
Jalan Chermat ,,
"EaStreetwood Green, Road, Terminal, Walk, Way ",,
Bodmin Drive ,,
Serangoon North Avenue 4 ,,
Jalan Salang,,
Yung Ho Road ,15532.181652544099,34332.3183865324
Yung Sheng Road ,,
Simei Street 3,,
Jalan Ishak ,,
How Sun Drive,,
Fernvale Road ,32619.2758175852,41122.220276564396
Jurong WeStreet Avenue 5,,
Yung Ping Road ,,
Glasgow Road ,32716.3519003233,38206.1153415721
Corporation Rise,15195.797870678798,35711.697084896296
Bishan Street 12 ,,
Tah Ching Road ,15873.562587718501,35494.491551768
"Robin Cl, Walk ",,
Serangoon NorthAvenue 4 ,,
Woodlands Avenue 4 ,,
Henderson Road ,25641.353450218197,28158.038046436406
Bt Timah Road ,,
Choa Chu Kang Avenue 3 ,,
Lorong Kismis ,20701.3241816834,35320.2268741895
Amber Gardens ,,
Rochor Road ,,
Jalan Lateh ,,
"Yunnan Drive 1, Road, Walk",,
Belgravia Drive ,,
Siglap Avenue South ,,
Jalan Anhherek,,
Jalan Songket,,
Jellicoe Road ,,
Jurong WeStreet Street 62 ,,
Commonwealth Drive ,23914.4332528822,31134.346636669703
Yishun Street 72,27754.9160845922,45565.0463964362
Serangoon North ,,
Bedok South Avenue 1,,
Upp EaStreet CoaStreet Road ,,
"Lorong 30, 32Geylang",,
College Avenue EaStreet,,
Tampines Street 21 ,,
Bedok Ria Cres,41244.3551322175,34326.2058277559
Lorong Mydin ,36700.2908699727,33498.9428476002
Kang Ching Road ,,
"Bedok Avenue, Road ",,
Lengkok Mariam,43085.4838175066,38349.5659404714
Jurong EaStreet Avenue 1 ,,
Kee Choe Avenue ,,
Tampines Street 24 ,,
Jalan Kelichap ,,
Pasir Ris Street 11 ,,
Jalan Jarak ,,
Jalan Chengam ,,
Segar Road ,,
Clementi Street 12 ,,
Bedok South Avenue 1 ,39173.8123528333,33678.8556520119
"Tai Hwan Gr, Terminal",,
"Senoko Cres,Drive, Road",,
Bedok Rise ,,
Joo Avenue ,,
Sgoon Central ,,
Edgedale Plains ,36268.2949769376,41789.9222813454
Corporation Driveive ,,
Paya Lebar Way ,,
Sungei Kadut Loop ,,
Dedap Lk ,,
"VeRoade Avenue, Cres, Grove, Pl, Walk",,
"Bedok Lane, Road, Walk",,
Lorong K Telok Kurau ,,
Choa Chu KangStreet 52 ,,
Woodlands Drive16 ,,
Pillai Road ,,
Bedok North Avenue 3 ,,
Berwick Drive ,31104.0982968733,38531.0554041546
373),21360.5531789782,30281.175079688397
 Hougang Avenue 1 ,38416.3686215216,34881.7532694228
Lewis Road ,26806.0789329121,33665.871958252
"Lorong 105, 106Changi",,
ColcheStreeTerminal Gr,,
Pasir Ris Street 52 ,,
Bishan Street 22 ,,
BaleStreetier Road ,,
Buffalo Road ,,
Paya Lebar Cres ,,
"VeRoade Avenue, Grove",,
Cassia Cres ,,
ButTerminalfly Avenue,,
Loyang Avenue ,,
Yishun Ind Park A,,
Fernvale Lane,32201.765515661802,41348.2017088942
Sirat Pl ,,
Choa Chu KangAvenue 1 ,,
Kitchener Link ,,
Teck Whye Lane ,,
Jurong EaStreet Street 13 ,,
Punggol Walk ,35555.2959962161,40540.947409641
Woodlands Drive 70 ,23999.409830200497,46859.8870097622
Gerald Cres,,
Coronation Road WeStreet ,,
Prince George's Park,22065.090563243306,30532.7102270015
Kim Keat Cl ,,
Jalan Kuang ,,
Ang Mo Kio Avenue 5 ,,
Akyab Road ,,
"EaStreetwood Drive, Green, Road, Terminal, Walk, Way ",,
Jalan Berjaya ,,
Geylang Road JalanSuka ,,
Charlton Lane,33504.6545371981,37637.715811340095
Brighton Avenue ,,
Jurong WeStreet Avenue 1 ,,
Jurong WeStreet Street 42 ,,
"How Sun Avenue, Cl ",,
Charlton Road,,
Ang Mo Kio Avenue 8 ,33260.9515030831,39175.9496962372
Jalan Hari Raya ,28483.738471036802,37408.4236064162
WeStreet CoaStreet Road ,,
Cashew Cres ,,
Aljunied Avenue 2 ,,
Jalan Pelatina ,28207.4385437323,37008.5386843588
Delta Avenue ,,
Marine ViStreeta ,,
"Bright Hill Cres, Drive ",,
EaStreet CoaStreet Avenue,,
Upp Changi Road EaStreet,,
"Lorong 6, 8 Geylang ",,
Chander Road,30020.9990889169,32211.215331519
Lengkong Dua ,36901.4164156802,34037.7488858644
Bt Batok WeStreet Avenue 9,,
Cantonment Road ,28899.228506118998,28663.715806789703
Sgn Central,,
Geylang Road ,,
